time,timesd,area,areasd,traps_per_cell
1.0,0.0,8100.0,0.0,10.0
1.0,0.0,8100.0,0.0,7.943282347242815
1.002,0.044698972,8221.5,2721.5022,6.309573444801933
1.005,0.07056897,8440.2,4809.713,5.011872336272723
1.025,0.15620308,9736.2,10305.845,3.9810717055349727
1.037,0.19408418,10505.7,12509.652,3.162277660168379
1.083,0.2831805,13640.4,18940.168,2.5118864315095806
1.176,0.44858134,19593.9,28114.686,1.9952623149688797
1.216,0.4577702,22096.8,29588.137,1.5848931924611134
1.315,0.5710526,28463.4,36608.26,1.2589254117941673
1.415,0.689384,34587.0,41199.445,1.0
1.56,0.9006726,44242.2,54342.227,0.7943282347242815
1.77,1.1543103,58206.6,70841.38,0.6309573444801932
1.973,1.3704559,71757.9,88129.16,0.5011872336272724
2.141,1.5708554,82490.4,96396.05,0.39810717055349726
2.555,1.8879988,112031.1,132850.23,0.31622776601683794
2.82,2.2317214,128854.8,141985.12,0.251188643150958
3.386,2.8843238,169136.1,204436.34,0.199526231496888
3.679,2.9730115,189969.3,215028.16,0.15848931924611132
4.57,4.0444355,253530.0,287021.03,0.1258925411794167
5.498,4.972396,328860.0,377406.88,0.1
